id,entities,clean_text
562,PER/Ronni Chasen;,Publicist shot dead after film premiere Longtime Hollywood publicist Ronni Chasen died whe ...
563,ORG/Qantas;ORG/Qantas Airways;,Qantas flight makes emergency landing A Qantas Airways flight carrying 199 passengers was ...
564,LOC/Salvation Army facility;ORG/Salvation Army;,Roof collapses at Salvation Army facility A roof collapse was reported at a Salvation Army ...
565,LOC/Saudi Arabia;,Saudis crack 19 active terror cells Security forces in Saudi Arabia have arrested 149 peop ...
566,,Security protest could bring nationwide delays at airports One of the busiest air travel d. . .
567,PER/Kym Rock;,Self defense xpert Kym Rock wil do xhibition kickbox against author of Pedophile guide need a promoter? raise money $ kids Saftey
568,,Senators at odds on START treaty The Republican senator who opposes ratification this year ...
569,LOC/Michigan mall;LOC/Michigan mall;,Shooting at Michigan mall injures 2 A shooting at a Michigan mall left two people injured ...
570,LOC/Wisconsin;,"Shopper accused of gun threat A Wisconsin woman who cut in front of a long line of "" ""black ... """
571,PER/Leslie Neilsen;,So sad to loose such talent . Leslie Neilsen was one of the best .
572,,Somali pirates free British couple A British couple whose yacht was hijacked by Somali pir ...
573,LOC/UK;,Students march to protest UK tuition A growing crowd of students was marching through cent ...
574,LOC/Boston airport;LOC/Boston Logan;,Suspect bags at Boston airport Authorities evacuated a cargo facility at the Boston Logan ...
575,LOC/Rio de Janeiro;PER/Alemao;,Tanks roll into Rio de Janeiro slum Authorities launched a massive sweep of the Alemao fav ...
576,LOC/Oregon;,Teen arrested over Oregon 'bomb plot' A 19-year-old has been arrested in connection with a. . .
577,LOC/Texas;LOC/Texas;,"Texas firm recalls turkey breast items A Texas firm has recalled about 2,600 pounds of ful ..."
578,,"The bottom-line for dieters Eat less There were no diet pills, shakes or detoxes . And no, ..."
579,ORG/FBI;,The FBI will always get ya . It may take time but they never give up .
580,LOC/Haiti;PER/Rene Preval;,The troubles in Haiti are catastrophic and the silence from Rene Preval is deafening - still
581,LOC/Arizona;,then u r dickheads Arizona . Enjoy ur mental health rise and increased crime rate .
582,,This Week on 'The Hal Lindsey Report' ...
583,LOC/Mississippi;,"Tornado, severe storms hit Mississippi State authorities dispatched emergency crews Tuesda ..."
584,LOC/Wisconsin;LOC/Wisconsin;,"Tornadoes reported in Wisconsin At least one tornado ripped through Wisconsin, officials s. . ."
585,LOC/Aruba;,Tres Hombres CO2 zero sailing cargo vessel arriving Aruba
586,ORG/TSA;ORG/Transportation Security Admini;,TSA chief to defend new security measures As anger over the Transportation Security Admini ...
587,PER/Madoff;PER/Bernard M;,Two former Madoff employees arrested Two former employees of disgraced financier Bernard M. . .
588,LOC/U.S.;MISC/N. Korean;LOC/United States;,U.S. drills to follow N. Korean shelling The United States said Wednesday that it will dis ...
589,LOC/U.S.;LOC/Israel;,U.S. offers Israel incentives In a bid to jumpstart the stalled Israeli-Palestinian peace ...
590,ORG/UN;,UN should awake .
592,ORG/Twitter;,was Most Recommended Celebrity this week on Twitter
593,LOC/California;,well sure California is broke so the courts opt 2 educate illegals at citizens expense . & welfare 2 of course
594,LOC/South Korea;,what a lame reply by South Korea's President . Take action when it happened then yap afterwards . What's the point now .
595,LOC/S. Korea;,When Is S. Korea Going To Defend Itself? They Use Our Nation As Another Country Does . They Use Our Muscle-Yet Give Us No Concessions
596,,Why there's gold fever There is at present a profound uncertainty about currencies . That i. . .
597,ORG/WikiLeaks;LOC/U.S.;ORG/WikiLeaks;,"WikiLeaks 'surprised' by scale of U.S. espionage WikiLeaks, the website sitting on a trove ..."
598,ORG/Congress;,Will lame-duck Congress settle differences or scores? Lawmakers return today for a lame-du ...
599,LOC/Wisconsin;LOC/Wisconsin;,Wisconsin hostages free after gunman shoots himself A 15-year-old Wisconsin high school st. . .
600,ORG/Twitter;,"your tweet "" ""Child kicking seat dislod ... "" "" is now featured on Twitter's Home """
601,PER/Obama;ORG/Twitter;,"your tweet "" ""Obama gets 12 stitches in ... "" "" is now featured on Twitter's Home """
602,ORG/Twitter;,"your tweet "" ""One of first compu ... "" "" is now featured on Twitter's Home """
603,PER/Zsa Zsa Gabor;PER/Zsa Zsa Gabor;LOC/Los A;,Zsa Zsa Gabor home from hospital Actress Zsa Zsa Gabor returned home Saturday from a Los A. . .
604,ORG/CIA;PER/Sonia;,CIA guided governance is surviving because it has a power center like Sonia who has no comprehension of Indian values & ethics .
605,ORG/Congress;,If a donkey (Sachchar) is nominated in PMO he can govern the nation better than Congress nominated PM in our polity .
606,PER/Mahavir Prasad Verma;,"In my sensual eye, Mahavir Prasad Verma, Ex-Minister is Jupiter in UP congress circle . I pay my homage for his depart . I knew him ."
607,ORG/CIA;ORG/CIA;,No one can say that he does not like to attach with CIA link . LordRama has also a desire to get in his lap to notified CIA (AM \* Rita) .
608,ORG/CIA;LOC/Lalita Park;ORG/CIA;,"In my view, CIA governance is the main accused of Lalita Park colapse of building . If CIA in face of Am \* Rita is surrended, it couldnot ."
609,PER/Rama;,Is it not a forced salvation of west to set apart to Lord Rama once again from his family life?
610,PER/Rama;LOC/Bihar;,Lord Rama has expressed joyous greet to the people of his belt Bihar who have honored his horse RAHUL & given victory to his polity .
611,ORG/CIA;PER/Lord Rama;ORG/CIA;,May CIA governance speak how many Amritpal are needed to put behind bar so as to convince that Lord Rama is real contender of CIA .
612,LOC/India;,People of sovereign nation of India may consider whether we shall govern by dummy players who relies upon har ~ lo ~ try or we check it?
613,ORG/UNSC;ORG/CIA;,Why is UNSC mum in the issue of handing over CIA identified as Am \* Rita for scientific venture of Indian Polity?
614,ORG/al Qaeda;,149 alleged al Qaeda members arrested in .
615,MISC/U.S. Geological Survey reports;,"Magnitude 7.4 hits off , U.S. Geological Survey reports ."
616,,"South Korean president will respond to future provocations from "" ""firmly "" "" """
617,LOC/Missouri;,"State of emergency declared in as storms batter state Hang in there & , Missouri"
618,LOC/New zealand;LOC/Auckland;PER/jakson;,"Afternoon from New zealand . lovely and sunny day here in Auckland, 16 Tuesday . jakson"
619,ORG/CNN;,"Dag mann, CNN reporting the airport debachle is ENUFF Already!! So much more 2 cover that's NCouraging 2 All of Us"
620,PER/Sarah;PER/God;,"Sarah, shhh .1 of th things God hates is Sowing Discord among th brethren . It's all N Love"
621,ORG/GOP;,Do GOP WANT2extend UnemBenefits? YESorNO . . Do theyWANT taxBrks 4ppl MAKING Over $ 1Million? YESorNO & WHY
622,,"Sites canBtemptin . ItsNOT aJOKE . . Need SELF-Ctrl, Respect, Communication & Trust . Obv there's an ISSUEat this church . ."
623,ORG/GOP;,"& the news channels r reporting intended stalling until new election in 2012 when they can get more GOP's elected, shocked i am"
625,LOC/Afghanistan;,no audio on Afghanistan briefing
626,PER/Sarah Palin;PER/Ronald Reagan;PER/John McCain;PER/John McCain;,Sarah Palin is to Ronald Reagan what John McCain is to the 2000 John McCain .
627,PER/Bush;ORG/Harvard;,Ask Bush what happened in economics at Harvard lol . Even my pet Dinosaur knows that no regulation breeds extreme greed/gluttony
628,,"The life force is god, , do n't you know? Of course you do ."
629,,PLEASE RT MUSIC POWER TV's Birthday = 1 year = CONGRATULATIONS = CONGRATULATIONS = CONGRATULATIONS yeahhhhh
630,,I wonder what would happen if there was a show titled The Dr. Laura and Don Imus Show?
631,PER/Brad;,That is one talented artist . Keep the song flowing Brad .
632,LOC/Japan;LOC/Tokyo;,to Japan to attend a gathering among Tweepers living around Tokyo
633,,if not unfortunately will be leaving at shelter becz we ca n't keep him -LRB
634,LOC/Florida;,a friend of mine moved to Florida and didnt sai anything we thought they were on vacation
635,LOC/canada;,i feel sorry for yall in the states . . here in canada there's not much snow . and yall are getting the kinda snow we usually see
636,LOC/chicago;PER/TJ holmes;,Have fun in chicago . Ur missing TJ holmes on now! lol .
637,LOC/Ohio;LOC/Cali;,I live in Ohio ... lived in Cali ... I rather have Baja Fresh!
638,PER/Tony Robbins;PER/jakson;,"For changes to be of any true value, they 've got to be lasting and consistent . ~ Tony Robbins (jakson)"
639,PER/Tony Robbins;PER/jakson;,"For changes to be of any true value, they 've got to be lasting and consistent . ~ Tony Robbins jakson"
640,ORG/Twitter;,"your tweet "" ""? Cn todo respeto "", "" Adivi ... "" "" is now featured on Twitter's Home """
641,PER/Paul Bliss;,mr bliss reporting well though good job Paul Bliss
642,MISC/Wizard of Oz;PER/Glinda;,"I really hated the adults in Wizard of Oz, but Glinda was badass . A BB kid's first exposure to the awesome power of fearlessness ."
643,MISC/The Perfect Nanny;,Haha its a good one . . you shoulda seen The Perfect Nanny ... now that was a mental woman LOL
644,PER/Waka;,Police raided Waka's house and he got arrested . . the source did n't say why he was arrested ... will keep ya posted
645,PER/Ima;,"Ima nerd, nerds aint tough right?"
646,PER/Crystal;LOC/CA;LOC/NH;,"good evening Crystal . I hope it's warmer in CA than it is here in NH . It's 11, which is higher than they said it would be ."
647,,/ representatives / senators lists from
648,,/ representatives / senators lists from Thanks for the rt's
650,PER/Jane;PER/POTUS;LOC/South Korea;,Jane winning seats by 200 300 votes says what? Understand why POTUS did NOT sign the South Korea treaty?
651,PER/POTUS;LOC/SOUTH Korea;LOC/USA;LOC/KOREA;MISC/KOREAN;LOC/USA;,"POTUS did NOT sign SOUTH Korea TREATY annual 6,000 USA cars n KOREA v 600,000 KOREAN cars n USA GOOD DEAL"
652,PER/Richard Branson;,PROMOTES Richard Branson talks about his new high-speed rail project
653,PER/Dick Lugar;ORG/YouTube;,BARASSO idiot You gotta love Dick Lugar! He's breathing fire! Watch him on YouTube
654,PER/Dick Lugar;ORG/GOP;,EXPERT Dick Lugar rips all his GOP OBSTRUCTIONISTS a NEW ASSHOLE! IDIOT BARASSO knows more!
655,LOC/Germany;LOC/MUMBAI;,Germany HIGH ALERT! Which Thanksgiving DAY was the MUMBAI ATTACK on for the WORLD to see?
656,LOC/TEXAS;,Are you on SOCIAL SECURITY? MEDICARE? OLD MAN from TEXAS?
657,LOC/OHIO;,CAN he not FIND work in OHIO?
658,PER/Jane;PER/POTUS;LOC/South Korea;,Does Jane understand why POTUS did NOT sign the South Korea treaty?
659,ORG/FORD;LOC/SOUTH KOREA;PER/JANE SAYS;,FORD wanted CAR deal w SOUTH KOREA TREATY-SEE what JANE SAYS is a FAILURE!
660,MISC/AMERICA;LOC/VERMONT;,Guess the AMERICA PEOPLE spoke in VERMONT!
661,MISC/AMERICANS;LOC/GERMANY;,How many AMERICANS know - TODAY HIGH ALERT in GERMANY?
662,PER/MURDOCH;PER/Roger AIles;LOC/USA;LOC/KOREA;LOC/USA;,"Intellect of MURDOCH Roger AIles thinks annual 6,000 USA cars n KOREA v 600,000 KOREAN cars n USA GOOD DEAL"
663,LOC/LISBON;,LISBON summt showed the WORLD what ASSHOLES are!
664,LOC/MS;PER/HALEY BARBOUR;,MS RANKS 50th in HEALTCARE & EDUCATION! HALEY BARBOUR 2012 OH BOY! SOemthing to look forward to!
665,LOC/MS;PER/HALEY BARBOUR;,MS RANKS 50th in HEALTHCARE & EDUCATION! HALEY BARBOUR 2012 OH BOY! Something to look forward to!
666,ORG/TEA PARTY;,NO TEA PARTY LEADER! SUCKER! 2012!
667,ORG/TEA PARTY;PER/BOEHNER;,NOW when will ALL start DEMANDING the MEDIA that created this TEA PARTY to show us where the CHANGE IS? TEAPARTY BOEHNER?
668,ORG/SHELL OIL;MISC/IRAQ WAR;LOC/IRAQ;,SHELL OIL LET them pay for IRAQ WAR Tehy are drilling and profit in IRAQ off of AMERICAN PEOPLE BLOOD!
669,ORG/SHELL OIL;,SHELL OIL! How about they pay for UNEMPLOYMNET!
670,ORG/TEA PARTY;ORG/TEA PARTY;,so called TEA PARTY knocked out OLD REPUBLICANS! Who si their TEA PARTY LEADER? OLD REPUBLICAN!
671,PER/ROB;LOC/MURDOCH UNIVERSITY;,THANK YOU ROB! SPECIFICS! MURDOCH UNIVERSITY!
672,PER/Susan;ORG/TEA PARTY;ORG/GOP;,Thanks Susan! There is no TEA PARTY! Period! Tea pArty ha always been 8 years of GOP Buyers Remorse! Media created TEAPARTY
673,ORG/TEA PARTY;,THE TEA PARTY!!!!!!!!!!!!!!!!!!
674,ORG/TEA PARTY;ORG/TEA PARTY;,THERE is no TEA PARTY NO TEA PARTY Leader!
675,ORG/GOP;ORG/PDB;PER/GW BUSH;,What do the GOP suggest for AIRLINE SECURITY? IGNORE the PDB's like GW BUSH did pre 9-1-01?
676,LOC/IOWA;,woops CAN he not FIND work in IOWA?
677,ORG/CONGRESS;,WRONG CONGRESS LOOSE CHANGE !!!
678,ORG/TEA PARTY;PER/BOEHNER;,Yes caller - the SWAMP has not been drained LOOK @ TEA PARTY LEADER BOEHNER TOBACCO CHECKS!
679,LOC/Korea;,covering Korea today? It's big news .
680,LOC/Halifax;,low temp in Halifax . No rain here
681,PER/Shannon Brown;,o yes that wouldnt even be an argument ... now bball theres too many fine ones . . but I like Shannon Brown
682,,Why not try this - its working for me
683,ORG/FBI;,"Risk of Death vs what the FBI already has, serves him right cretin, simpleton, dimwit . Do you think before you speak?"
684,PER/Pollyanna;PER/Philly;PER/Kris Kringle;PER/Pollyanna;,"Pollyanna exch so Philly, it's Secret Santa or Kris Kringle gift exch . almost everyplace else, luv Pollyanna better 4 kids"
685,,Thank you both so much for tonight we have a really lovely time ... Great food & company!
686,PER/Dan;PER/Jessica;,"Thanks for the RT, Dan!! Best wishes for a fantastic Christmas Holiday!! ~ Jessica"
687,PER/Leigh;LOC/Bournemouth;LOC/London;LOC/b `mouth;,Leigh got to meet them after their Bournemouth gig! But we had London tickets & spent 2 days trying to get tix for b 'mouth!
688,MISC/Any Human Heart;PER/Jim Broadbent;,Any Human Heart (DVD) DVD ~ Jim Broadbent
689,PER/Darey;,Darey I am wishing you and your family a Happy New Year 2011! May God's presence dwell with you people . Amen .
690,PER/Phil Collins;PER/Darey;PER/Phil Collins;,Phil Collins . Darey please Collabo with Phil Collins . Have u not noticed u sing alike .
691,,added ya!
692,PER/Franklin Raines;ORG/Fannie Mae;,Why are we paying for Franklin Raines legal fees for committing accounting fraud at Fannie Mae?
693,,just got off the phone with some bigwigs my future should be interesting . Sounds good man! needs talent .
694,LOC/China;LOC/United States;,At what point in time does China fully own the United States?
695,LOC/U.S.A.;,The draft came back the minute the went down the drain . This is so not a real issue . What's with the U.S.A.?
696,,A laptop computer or iPad!!!
697,LOC/Egypt;,I have an offer 2 go 2 Egypt but the guy may want me to show him something at night .
698,,And that's the best collection of all! RT I dont collect anything of Hers . just memories
699,LOC/Bristol;,Bristol is
700,,you done know sista! ... oh henry bars are the best frozen!
701,LOC/SINGAPORE;,There's no word that can express how I'm feeling right now . DEFTONES IN SINGAPORE . OMG . FINALLY! Ca n't wait for February!
702,,asks What Are Your Holiday Travel Tips And Tricks? Mine is STAY HOME for Thanksgiving! And I mean than in a good way!
703,LOC/United States;,"the people of the United States want low taxes and want passage of 's deal . Get it done, w/o delay ."
704,PER/Randy;PER/Jessica;,"Thanks for the RT, Randy!! Hope your day has been relaxing & fun! ~ Jessica"
705,ORG/NFL;,NFL Network!
706,ORG/U.N.;PER/jakson;,"Oceans failing the acid test, U.N. says - Help save de Oceans!!! jakson nz"
707,ORG/U.N.;PER/jakson;LOC/NZ;,"Oceans failing the acid test, U.N. says - jakson NZ"
708,,Here are the lyrics!
709,MISC/Cuban;LOC/Haiti;,The current Hot Story Cuban medics in Haiti put the world to shame ) Its so funny
710,,lol do yu know this girl in the choir w/a Black & white bob?!
711,PER/Stefan;PER/Elena;,laughs) Stefan and Elena are probably in the middle of a fuckfest .
712,ORG/SEC;,SEC Championship game
713,LOC/London;,"super down for the fatcat, but i'm in London this weekend, wanna go next week sometime?"
714,LOC/Canada;,"it's messed up . He should of toured Canada, nothing would of happened here ."
715,LOC/UK;,cool I like u u give time is that UK 8 or black people timing 8 lol!
716,LOC/Manchester;LOC/sheff;,I 'M VEX GOT TICKET 26th Jan in Manchester found out can go sheff I could (cont)
717,,"No here in , but its starting to rain pretty hard ."
718,,"Very true . I ate some Cajun Gator in' 03' at the Taste of , and it really did taste similar to chicken . Good stuff ."
719,MISC/A Christmas Story;,"Your definitely watching' A Christmas Story .' Everyone should know that quote .;) "" ""Ralphie "", "" you 'll shoot your eye out . "" "" """
720,ORG/WIBC;LOC/Indianapolis;,"Finally, the announcement my M-F 2-4pm CDT show expands to WIBC in Indianapolis beginning January 10 . Congratulations! """
721,,anti-subliminal movement
722,LOC/Florida;,they are insane in Florida w fireworks and even shooting guns in the air
723,ORG/Dollar Tree;,@ Dollar Tree)
724,LOC/South Beach;,might have to go to South Beach to get a cork-screw ...
725,ORG/GOP;,"Agree ... sounds reasonable, except the GOP does n't do goals or principles, only platform and obstruction"
726,,Thank you so much and Happy New Year to you too darling x
727,LOC/Borders cafe;,I was listening to it while sitting in the Borders cafe and had to keep myself from laughing out loud a few times .
728,PER/Amanda Cox;,I think you made that whole thing up . That I would have groupies is absurd . I'm no Amanda Cox .
729,LOC/New York;,one day I shall describe to my grandchildren the heady times when I was last in New York .
730,LOC/Columbia;,I'm a couple of hrs away in Columbia . It's gonna be 16 degrees Tuesday nite going into Wed. . But air's too dry to get any snow
731,ORG/Twitter;,"your tweet "" "" "" ""Extrañarte no es sufici ... "" "" is now featured on Twitter's Home """
732,,"I'm Good, having a Drink and watching the Game . Wbu?"
733,,we are having the time of our lives - love your boilermaker fans!!! Hail purdue
734,PER/Dr. Natalie;,"You 're Welcome, Dr. Natalie! xo"
735,,"Reading "" ""Diario Horizonte - Colombiano "" "" ( """
736,LOC/Japan;,No Neslte Quick in Japan? Now thr R vanilla & Rolo Nestle Quick! But the original is still the best! Sweet!?
737,ORG/CNN;LOC/PUERTO RICO;,IM CHECKING CNN I DONT SEE ANYTHING ABOUT EARTHQUAKE IN PUERTO RICO YET PRIMOOOO
738,MISC/BAFTA;MISC/Academy Award;,"been nominated several times / won once a BAFTA or an Academy Award . Tell me after that where is the "" "" poison "" "" """
739,PER/Daniel Radcliffe;PER/Robert Pattinson;,"What is interesting is to call these actors Box Office Poisons while, unlike Daniel Radcliffe and Robert Pattinson, they 've"
740,LOC/Palau;,I bet Palau was amazing
741,LOC/NJ;,"preparing mentally for trip to NJ, will be a long winter for me?"
742,PER/Ellie;,Have a WONDERFUL Christmas Eve Ellie darling xxx
743,,ohhh masa idol sports championship yaaa . . cdak sm k baju merah . uhuhuhuhu DDDD
744,,dat dependz on the construction ohhh!!!!
745,PER/Clive Owen;,Look at the end of this Clive Owen interview to have your answer
746,PER/usher;PER/r kels;,"LOL, usher & r kels - same girl!"
747,LOC/San Francisco;PER/Hemingway;PER/Gellhorn;PER/Philip Kaufman;,"not sure this is accurate since he begins to shoot in San Francisco "" "" Hemingway and Gellhorn "" "" with Philip Kaufman in Feb 2011 """
748,PER/Paul shaw;,all going great and you? hv you back to queenstown? any news from Paul shaw?
749,PER/Pam Ann;LOC/LA;,I went to see Pam Ann in LA last year . so great . i love her . do u know who is she?
750,,do you think today's penalty was the quickest ever conceded by an player? Definitely by a debutant surely?!
751,PER/Chris;PER/Franklin Raines;ORG/Fannie Mae;,Chris did U know we are paying Franklin Raines legal fees for committing accounting fraud at Fannie Mae?
752,PER/Elizabeth Edwards;,they are going to protest at Elizabeth Edwards funeral .
753,PER/Leslie Nielsen;,they are recovering/mourning Leslie Nielsen -LRB
754,PER/Lindsay Lohan;,"lol! Then that's why I do n't remember it well, and for good reason p was Lindsay Lohan in it?"
755,PER/Scott Mills;,""" "" like Scott Mills said "", "" it looked staged "" ""!!?? """
757,PER/bieber;MISC/the golden globes;,holy fuck - . - THEY TURNED THE TVS OFF . What if bieber comes back on x_X NOOO it was behind the scenes of the golden globes
758,PER/Scott Norwide;,I hate Scott Norwide
759,PER/Scott Norwide;,"Yes, 4 . Screw Scott Norwide!"
760,ORG/Victoria's Secret;,FREE $ 250 Gift Card from Victoria's Secret for the Holidays!
761,PER/Mariah Carey;,Mariah Carey has n't been able to sing live PROPERLY for yeaaaarrrs now . Let's not say its bc she's preggers
762,PER/Tony Robbins;ORG/google;,"Successful people ask better questions, and as a result, they get better answers . ~ Tony Robbins traduz isto no google para vc"
764,,Ooo a bit of and can never be wrong .
765,,"I'm brilliant, I know! Now that will be $ 3,600 ... no refundes :)"
766,,LIVE . LOVE . LEARN . Search for FREE and contact thousands of singles close to you!
767,,It cost _ 42 for English shipping . No idea how much that is in euros . D
768,PER/Clive Owen;,Well just for your information is not Clive Owen . It's not even a verified account . Celebrities accounts are
769,,"Thanks for organizing today's brunch, choosing the stellar location, and the fine food/drink suggestions!"
770,LOC/st. Louis;LOC/chicago;LOC/usa;,st. Louis population bigger than chicago??? Lol bro we the 3rd largest city in the usa
771,,lol dat dvd hard to get a hold of now but I got somebody Dats go make u both of them for me da (cont)
772,LOC/L.A.;,well he IS out in L.A.
773,ORG/NFL;,We engage in the NFL daily > > > claim and get MADDEN NFL FOR FREE!
774,,nice web page!
775,,lol so just because of the classes you want to be a journalist anymore??
776,PER/Chris Henry;,um I wrote Chris Henry dumbass
777,,or responding to media coverage - tail wagging the dog
778,PER/Dr K Khare;LOC/UK;PER/Pooja Khare;PER/Shalu Jindal;LOC/UK;PER/Sunita Khare;PER/SPillay;,Probe Dr K Khare in UK kin of Pooja Khare & Shalu Jindal-played key role as UK puppet . Arrest Sunita Khare sis of SPillay
779,,LIVE . LOVE . LEARN . Search for FREE and contact 1000's of singles nearby you!
780,PER/Iris Gueller;,Hi i just got a mail from; Iris Gueller . Who works with . Thank you for the whitepaper .
781,PER/Michelle Obama;,Lol . Do n't mind she tried to put down Michelle Obama . Quite comical . .
782,ORG/Facebook;PER/Cris Collinsworth;,Thanks Facebook Fans for this old school pic of Cris Collinsworth .11 / 8/1981
783,,How come I did not think of that?
784,PER/Betty White;,Betty White;)
785,PER/Betty white;,Betty white on top of the pyramid and doing high jumps lol
786,ORG/jets;PER/Sanchez;LOC/pittsburgh;,yeh that was pretty awful! Go jets! need Sanchez to bring his A-game tonight in pittsburgh
787,LOC/leeds;LOC/sheffield;,Can i have a goodnight tweet or follow pleasee;) Love u loads & whens the next time your going to leeds or sheffield x x x
788,,be glad it's just now sucking for you . It's been that way for me since ... Augusttt . Haha
789,LOC/south Africa;,south Africa?? U there??
790,,"Check this out! I wrote a song, and i really want your opinion please? xo"
791,MISC/the super bowl;,they should push back the super bowl to WPPI . that would be a party .
792,ORG/Packers;MISC/Super Bowl;,The Packers are Super Bowl-bound . The party can now begin!
793,LOC/Florida;PER/Rudolph Valentino;,unless they live in Florida and were around with Rudolph Valentino -)
794,,GARBAGE PAIL KID IN THE FACE!!!!
795,LOC/southampton;,I'm sure there's quite a few people from southampton who follow you on here ... me being one of them :)
796,LOC/Rome;,they need the Rome offensive package in this game
797,,That last tweet was major failure . Haha
798,LOC/Tennessee;,is that Tennessee sentence construction?
799,PER/Jay Cutler;,unless you 're Jay Cutler . Then you just pull yourself .
800,,"Amazin this music clip, SO COOL o"
801,,this song warms my heart! THANK YOU! RETWEET IF YOU AGREE!
802,PER/Justin D Bieber;,"Do n't mess up with my Beliebers, they are more frightening then an army.-Justin D Bieber quote of the day ."
803,LOC/indonesia;,hy you are the best ...!! thnx you want come in indonesia ... . lol
804,LOC/URUGUAY;,You say that dreams come true ... so please make mine true ... Follow Me :) or come to URUGUAY? 34
805,,Read your tweet and figured you would want the Grenade ringtone too
806,PER/Franklin Raines;ORG/Fannie Mae Katie;,Did U know we are paying Franklin Raines legal fees for committing accounting fraud at Fannie Mae Katie? I got proof .
807,,just because they 're busy during weekdays . . owning a smartphone is the sexiest solution to read 'em instantly; -))
808,MISC/SB;PER/Rex Ryan;,"I would love to see LT win a SB ... also, love Rex Ryan . Not on any bandwagons ... still love my 'Boys . We 'll be back ."
809,,Merry Crhistmas to you dear friend xxx
810,PER/KYLE;,GO KYLE!!! Hope it went well :)
811,,It was my pleasure . I hope/trust that you are having a great week!
812,,"I appreciate that gorgeous, good game ~ e-handshake"
813,MISC/super bowl;,do you think we will b seein yall in the super bowl
814,ORG/Tayto;ORG/King;,"Carlow, yes that sounds familiar . TK lemonade and Perri crisps (or Tayto, King)! As kids all thought King were best"
815,MISC/NFL;,We engage in the game very much > > > go to and get MADDEN NFL for 0 $!
816,MISC/Java;,"Yeah the syntax is a bit awkward, ,, but I like to think of it as really what Java should 've been and that makes it a little easier ."
817,PER/Roger;,Sir Yes Sir . Roger that Boss .
818,PER/Holly;PER/Colin Cowie;,"that has to be THE party, my friend Holly was also there, wish I was able to of attended Colin Cowie did it again, Fab"
819,,Professor Spicy Pickle ... I 'll bring the ruler . p lol
820,,Hi son Merry to u too . wishing u the best of God's favors .
821,PER/Nicki Minaj;,Nicki Minaj
822,MISC/NFL;,We love football daily - now we can give back > > > go to and get MADDEN NFL Gratis!
823,LOC/cambridge;LOC/cambridge;,"not maybe, definately . cambridge is the place to be!;) and if you do n't make it to cambridge, follow me? x"
824,PER/Christian Wigg;,Christian Wigg us my fav xD
825,,"contrary to their belief, it would reduce crime and help healthcare spending . But why look at the benefits???"
826,ORG/Sol-Ice;,"Thanks for the Follow! Check out more about Sol-Ice and out "" ""Green "" "" products @ """
827,PER/Sam;PER/Seth Levinson;ORG/Yankees;,"he & his agents Sam and Seth Levinson came into our restaurant in 1995 right after joining the Yankees, small world"
828,PER/Paul McCartney;,If I see that will make it the best concert ever been to . Right now it's Sir Paul McCartney . That was a good 1 ^ _ ^
829,PER/Paul McCartney;,Sir Paul McCartney was the same for me lol . So I imagine will be so much better . And he's a beetle lol!
830,PER/Ann Murray;,"yes, here we get blizzards, hurricanes and an occasional visit by Ann Murray ."
831,ORG/Bears;ORG/Packers;LOC/Green Bay;LOC/Chicago;,Hey ... are you as totally ambivalent as I am about the Bears/Packers lol? I live right between Green Bay and Chicago but I. . .
832,PER/Barbara Stanwyck;,"I am of that generation, mom named me after Barbara Stanwyck . . her voice was so recognizable . ."
833,,"Be there or Be square, I will be there!"
834,PER/Hayward;PER/Sloan;ORG/nba;,"Is this a reward 4 Hayward, or desperation move2 shake things up? What leads Sloan 2believe GH is ready to face nba starters"
835,,Jimmy and his friend
836,,Dude Faces Felony For Reading Cheating Wife's Email He should 've claimed she was a national security risk
837,LOC/Anguilla;PER/Mario;,"my huband met you in Anguilla, Chef Mario, he says hello"
838,LOC/WINSTON-SALEM;LOC/N.C.;ORG/AP;PER/Kyle Singler;,"WINSTON-SALEM, N.C. (AP)? Kyle Singler scored 24 points and keyed the run that helped No. 4 Duke pull ..."
839,PER/Bruno Mars;,Bruno Mars' cd is one of my favs this year . The words speak volumes . Grenade is an amazing track!
840,PER/Wale;,"Im a real dog I wake up and chase the paper boi "" "" who's fucking with this nigga??? "" "" - him & Wale in my top five . """
841,PER/Tiger Woods;,"I did live here, with future plans of doin so again \* Tiger Woods fist pump \*"
843,PER/Franklin Raines;ORG/Fannie Mae;,Did you know we are paying for Franklin Raines legal fees for committing accounting fraud at Fannie Mae?
844,PER/Canibus;,"2nd Round Knockout was Canibus's Ether, all those LL disses were below that"
845,,I DID THANKS! I can put it to good use . Bye the way did you model for this thing? I always thought yours was bigger . OH WELL :)
846,PER/Clive Owen;PER/Kate Middleton;,"Well if this guy is Clive Owen, then I am Kate Middleton . The account is n't even verified"
847,,"No it's not, things like female genital mutilation are gender discrimination issues that (cont)"
848,PER/Bush;PER/Palin;,and Bush did? stfu! i hope your not into Palin ... if so thennn you prob need to go back to school! or at least finish
849,,yep it's possible!! Even with dual boot; -) = =) iOS & Android!! . . For iPhones it's too risky upgrading iOS . .
850,,lol we can do that but when iWin iDont want no Team J's . Retro only
851,PER/Lee Burke;,it can be changed i.e. on the page about homosexuals I could put Lee Burke on it -) -)
852,,girl I laughed . I would have said Centric . You 're better than me LOL
853,PER/jay;ORG/denver;ORG/bears;MISC/NFC title;,what did you expect baby jay walked out on denver . Just walked out on a the bears during NFC title (cont)
